Country ISO	Language
Afghanistan	AFG	Pashto, Dari
Albania	ALB	Albanian
Algeria	DZA	Arabic
Andorra	AND	Catalan
Angola	AGO	Portuguese
Argentina	ARG	Spanish
Armenia	ARM	Armenian
Australia	AUS	English
Austria	AUT	German
Azerbaijan	AZE	Azerbaijani
Bahamas	BHS	English
Bahrain	BHR	Arabic
Bangladesh	BGD	Bengali
Barbados	BRB	English
Belarus	BLR	Belarusian
Belgium	BEL	Dutch, French, German
Belize	BLZ	English
Benin	BEN	French
Bhutan	BTN	Dzongkha
Bolivia	BOL	Spanish, Quechua, Aymara
Bosnia and Herzegovina	BIH	Bosnian, Croatian, Serbian
Botswana	BWA Tswana
Brazil	BRA	Portuguese
Brunei	BRN	Malay
Bulgaria	BGR	Bulgarian
Burkina Faso	BFA	Mooré
Burundi	BDI	Kirundi
Cabo Verde	CPV	Portuguese
Cambodia	KHM	Khmer
Cameroon	CMR	Bassa
Canada	CAN	English, French
Central African Republic	CAF	French, Sango
Chad	TCD	French, Arabic
Chile	CHL	Spanish
China	CHN	Mandarin Chinese
Colombia	COL	Spanish
Comoros	COM	Comorian, Arabic, French
Congo, Republic of the	COG	French
Congo, Democratic Republic of the	COD	French
Costa Rica	CRI	Spanish
Croatia	HRV	Croatian
Cuba	CUB	Spanish
Cyprus	CYP	Greek, Turkish
Czech Republic	CZE	Czech
Denmark	DNK	Danish
Djibouti	DJI	French, Arabic
Dominica	DMA	English
Dominican Republic	DOM	Spanish
Ecuador	ECU	Spanish
Egypt	EGY	Arabic
El Salvador	SLV	Spanish
Equatorial Guinea	GNQ	Spanish, French, Portuguese
Eritrea	ERI	Tigrinya, Arabic
Estonia	EST	Estonian
Eswatini (Swaziland)	SWZ	Swati
Ethiopia	ETH	Amharic
Fiji	FJI	Fijian, Hindi
Finland	FIN	Finnish
France	FRA	French
Gabon	GAB	French
Gambia	GMB	English
Georgia	GEO	Georgian
Germany	DEU	German
Ghana	GHA	English
Greece	GRC	Greek
Grenada	GRD	English
Guatemala	GTM	Spanish
Guinea	GIN	French
Guinea-Bissau	GNB	Portuguese
Guyana	GUY	English
Haiti	HTI	French, Haitian Creole
Honduras	HND	Spanish
Hungary	HUN	Hungarian
Iceland	ISL	Icelandic
India	IND	Hindi, English
Indonesia	IDN	Indonesian
Iran	IRN	Persian (Farsi)
Iraq	IRQ	Arabic, Kurdish
Ireland	IRL	Irish, English
Israel	ISR	Hebrew
Italy	ITA	Italian
Jamaica	JAM	English
Japan	JPN	Japanese
Jordan	JOR	Arabic
Kazakhstan	KAZ	Kazakh, Russian
Kenya	KEN	English, Swahili
Kiribati	KIR	English
Korea, North (DPRK)	PRK	Korean
Korea, South (ROK)	KOR	Korean
Kuwait	KWT	Arabic
Kyrgyzstan	KGZ	Kyrgyz, Russian
Laos	LAO	Lao
Latvia	LVA	Latvian
Lebanon	LBN	Arabic
Lesotho	LSO	English, Sesotho
Liberia	LBR	English
Libya	LBY	Arabic
Liechtenstein	LIE	German
Lithuania	LTU	Lithuanian
Luxembourg	LUX	Luxembourgish, French, German
Madagascar	MDG	Malagasy, French
Malawi	MWI	Chichewa
Malaysia	MYS	Malay
Maldives	MDV	Dhivehi
Mali	MLI	French
Malta	MLT	Maltese, English
Marshall Islands	MHL	Marshallese
Mauritania	MRT	Arabic
Mauritius	MUS	English
Mexico	MEX	Spanish
Micronesia	FSM	English
Moldova	MDA	Romanian
Monaco	MCO	French
Mongolia	MNG	Mongolian
Montenegro	MNE	Montenegrin
Morocco	MAR	Arabic, Berber
Mozambique	MOZ	Portuguese
Myanmar (Burma)	MMR	Burmese
Namibia	NAM	English
Nauru	NRU	Nauruan, English
Nepal	NPL	Nepali
Netherlands	NLD	Dutch
New Zealand	NZL	Māori
Nicaragua	NIC	Spanish
Niger	NER	French
Nigeria	NGA	English
North Macedonia	MKD	Macedonian
Norway	NOR	Norwegian
Oman	OMN	Arabic
Pakistan	PAK	Urdu, English
Palau	PLW	Palauan, English
Panama	PAN	Spanish
Papua New Guinea	PNG	English, Tok Pisin, Hiri Motu
Paraguay	PRY	Guarani
Peru	PER	Quechua, Aymara
Philippines	PHL	Filipino, English
Poland	POL	Polish
Portugal	PRT	Portuguese
Qatar	QAT	Arabic
Romania	ROU	Romanian
Russia	RUS	Russian
Rwanda	RWA	Kinyarwanda, French, English
Saint Kitts and Nevis	KNA	English
Saint Lucia	LCA	English
Saint Vincent and the Grenadines	VCT	English
Samoa	WSM	Samoan, English
San Marino	SMR	Italian
Sao Tome and Principe	STP	Portuguese
Saudi Arabia	SAU	Arabic
Senegal	SEN	French
Serbia	SRB	Serbian
Seychelles	SYC	Seychellois Creole
Sierra Leone	SLE	English
Singapore	SGP	English, Malay, Mandarin, Tamil
Slovakia	SVK	Slovak
Slovenia	SVN	Slovenian
Solomon Islands	SLB	English
Somalia	SOM	Somali, Arabic
South Africa	ZAF	11 official languages
South Sudan	SSD	English
Spain	ESP	Spanish
Sri Lanka	LKA	Sinhala, Tamil
Sudan	SDN	Arabic, English
Suriname	SUR	Dutch
Sweden	SWE	Swedish
Switzerland	CHE	German, French, Italian, Romansh
Syria	SYR	Arabic
Taiwan	TWN	Mandarin Chinese
Tajikistan	TJK	Tajik
Tanzania	TZA	Swahili, English
Thailand	THA	Thai
Timor-Leste	TLS	Portuguese, Tetum
Togo	TGO	French
Tonga	TON	Tongan, English
Trinidad and Tobago	TTO	English
Tunisia	TUN	Arabic
Turkey	TUR	Turkish
Turkmenistan	TKM	Turkmen
Tuvalu	TUV	Tuvaluan, English
Uganda	UGA	English, Swahili
Ukraine	UKR	Ukrainian
United Arab Emirates	ARE	Arabic
United Kingdom	GBR	English
United States	USA	English
Uruguay	URY	Spanish
Uzbekistan	UZB	Uzbek
Vanuatu	VUT	Bislama
Vatican City	VAT	Italian
Venezuela	VEN	Spanish
Vietnam	VNM	Vietnamese
Yemen	YEM	Arabic
Zambia	ZMB	English
Zimbabwe	ZWE	Shona, Ndebele